name	link	movie_title	num_votes	num_comments	mbti
Félix Graham	https://www.personality-database.com/profile/70781/flix-graham-miraculous-tales-of-ladybug-cat-noir-2015-mbti-personality-type	Miraculous: Tales of Ladybug & Cat Noir (2015)	838	193	INTJ
Sebastian "Glam" Shvagenbagen	https://www.personality-database.com/profile/137001/sebastian-glam-shvagenbagen-metal-family-mbti-personality-type	Metal Family	649	124	INTJ
Wei Wuxian / Ying “Yiling Patriarch”	https://www.personality-database.com/profile/23747/wei-wuxian-ying-yiling-patriarch-grandmaster-of-demonic-cultivation-mo-dao-zu-shi-mbti-personality-type	Grandmaster of Demonic Cultivation (Mo Dao Zu Shi)	942	85	ENTP
Alejandro Burromuerto	https://www.personality-database.com/profile/31983/alejandro-burromuerto-total-drama-2007-mbti-personality-type	Total Drama (2007)	827	160	ENTJ
Leshawna	https://www.personality-database.com/profile/8591/leshawna-total-drama-2007-mbti-personality-type	Total Drama (2007)	830	58	ESTP
Max	https://www.personality-database.com/profile/9894/max-camp-camp-2016-mbti-personality-type	Camp Camp (2016)	838	120	INTJ
ENA	https://www.personality-database.com/profile/192457/ena-ena-2020-web-mbti-personality-type	ENA (2020) (Web)	712	49	ENFP
Cody Anderson	https://www.personality-database.com/profile/8580/cody-anderson-total-drama-2007-mbti-personality-type	Total Drama (2007)	586	48	ENFP
Michelangelo “Mikey”	https://www.personality-database.com/profile/13075/michelangelo-mikey-teenage-mutant-ninja-turtles-2012-mbti-personality-type	Teenage Mutant Ninja Turtles (2012)	553	26	ENFP
Lin Beifong	https://www.personality-database.com/profile/10889/lin-beifong-the-legend-of-korra-2012-mbti-personality-type	The Legend of Korra (2012)	610	41	ESTJ
Rayla	https://www.personality-database.com/profile/16639/rayla-the-dragon-prince-2018-mbti-personality-type	The Dragon Prince (2018)	463	56	ISTP
Frosta	https://www.personality-database.com/profile/28095/frosta-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	443	31	ISTP
Carmilla	https://www.personality-database.com/profile/18373/carmilla-castlevania-2017-mbti-personality-type	Castlevania (2017)	459	26	ENTJ
Glenn Quagmire	https://www.personality-database.com/profile/1302/glenn-quagmire-family-guy-1999-mbti-personality-type	Family Guy (1999)	428	37	ESTP
Rob	https://www.personality-database.com/profile/44779/rob-the-amazing-world-of-gumball-2011-mbti-personality-type	The Amazing World of Gumball (2011)	408	57	INFJ
Odalia Blight	https://www.personality-database.com/profile/198479/odalia-blight-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	363	39	ESTJ
Clown	https://www.personality-database.com/profile/45916/clown-the-amazing-world-of-gumball-2011-mbti-personality-type	The Amazing World of Gumball (2011)	133	17	XXXX
Spectra Vondergeist	https://www.personality-database.com/profile/30900/spectra-vondergeist-monster-high-2010-mbti-personality-type	Monster High (2010)	172	3	INFJ
Orel Puppington	https://www.personality-database.com/profile/84961/orel-puppington-moral-orel-mbti-personality-type	Moral Orel	309	32	ENFJ
Nursula Bendy	https://www.personality-database.com/profile/128912/nursula-bendy-moral-orel-mbti-personality-type	Moral Orel	127	13	ESFP
Sheldon J. Plankton	https://www.personality-database.com/profile/4751/sheldon-j-plankton-spongebob-squarepants-1999-mbti-personality-type	SpongeBob SquarePants (1999)	1.8k	208	ENTJ
Marceline Abadeer	https://www.personality-database.com/profile/1603/marceline-abadeer-adventure-time-2010-mbti-personality-type	Adventure Time (2010)	2k	178	ISFP
Princess Bonnibel Bubblegum	https://www.personality-database.com/profile/1265/princess-bonnibel-bubblegum-adventure-time-2010-mbti-personality-type	Adventure Time (2010)	2k	174	ENTJ
Madeline Hatter	https://www.personality-database.com/profile/55331/madeline-hatter-ever-after-high-2013-mbti-personality-type	Ever After High (2013)	1.5k	121	ENTP
Raven Queen	https://www.personality-database.com/profile/55330/raven-queen-ever-after-high-2013-mbti-personality-type	Ever After High (2013)	1.5k	105	INFP
Garfield the Cat	https://www.personality-database.com/profile/3099/garfield-the-cat-garfield-mbti-personality-type	Garfield	1.5k	336	INTP
Candace Flynn	https://www.personality-database.com/profile/2733/candace-flynn-phineas-and-ferb-2007-mbti-personality-type	Phineas and Ferb (2007)	1.4k	161	ESTJ
Spinel	https://www.personality-database.com/profile/56449/spinel-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	800	127	ESFP
Peridot	https://www.personality-database.com/profile/1594/peridot-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	1.4k	161	ESTJ
