name	link	movie_title	num_votes	num_comments	mbti
Nancy Downs	https://www.personality-database.com/profile/13851/nancy-downs-the-craft-1996-mbti-personality-type	The Craft (1996)	569	60	ENTP
Noah Calhoun	https://www.personality-database.com/profile/12546/noah-calhoun-the-notebook-2004-mbti-personality-type	The Notebook (2004)	253	34	ISFP
Dr. Facilier	https://www.personality-database.com/profile/14699/dr-facilier-the-princess-and-the-frog-2009-mbti-personality-type	The Princess and the Frog (2009)	447	35	ENTP
Stanley "Stan" Uris	https://www.personality-database.com/profile/8959/stanley-stan-uris-it-2017-mbti-personality-type	It (2017)	451	12	ISTJ
The Man with No Name‎‎	https://www.personality-database.com/profile/3367/the-man-with-no-name-the-dollars-trilogy-mbti-personality-type	The Dollars Trilogy	509	63	ISTP
Juli Baker	https://www.personality-database.com/profile/24883/juli-baker-flipped-2010-mbti-personality-type	Flipped (2010)	394	58	ENFP
Lord Maximus Farquaad	https://www.personality-database.com/profile/2820/lord-maximus-farquaad-shrek-franchise-mbti-personality-type	Shrek (Franchise)	417	55	ESTJ
Theodore Twombly	https://www.personality-database.com/profile/11332/theodore-twombly-her-2013-mbti-personality-type	Her (2013)	394	43	INFP
Catherine Tramell	https://www.personality-database.com/profile/82995/catherine-tramell-basic-instinct-1992-mbti-personality-type	Basic Instinct (1992)	356	32	ENTJ
Daisy Randone	https://www.personality-database.com/profile/14886/daisy-randone-girl-interrupted-1999-mbti-personality-type	Girl, Interrupted (1999)	408	27	ISFJ
Hazel Grace Lancaster	https://www.personality-database.com/profile/8975/hazel-grace-lancaster-the-fault-in-our-stars-2014-mbti-personality-type	The Fault in Our Stars (2014)	288	22	INFP
Will Traynor	https://www.personality-database.com/profile/16681/will-traynor-me-before-you-2016-mbti-personality-type	Me Before You (2016)	300	8	ENTJ
Carrie White	https://www.personality-database.com/profile/11353/carrie-white-carrie-1976-mbti-personality-type	Carrie (1976)	425	54	ISFJ
Chicken Little	https://www.personality-database.com/profile/53644/chicken-little-chicken-little-2005-mbti-personality-type	Chicken Little (2005)	268	55	ENTP
Scarlet Overkill	https://www.personality-database.com/profile/202400/scarlet-overkill-despicable-me-franchise-mbti-personality-type	Despicable Me (Franchise)	413	57	ENTJ
Nathan Drake	https://www.personality-database.com/profile/385331/nathan-drake-uncharted-2022-mbti-personality-type	Uncharted (2022)	274	25	ESFP
June George	https://www.personality-database.com/profile/35199/june-george-mean-girls-2004-mbti-personality-type	Mean Girls (2004)	357	11	ESFJ
Mike Hanlon	https://www.personality-database.com/profile/10528/mike-hanlon-it-2017-mbti-personality-type	It (2017)	302	5	ISFJ
Queen Of Hearts	https://www.personality-database.com/profile/4924/queen-of-hearts-alice-in-wonderland-1951-mbti-personality-type	Alice in Wonderland (1951)	324	12	ESTJ
Bill	https://www.personality-database.com/profile/16060/bill-kill-bill-2003-mbti-personality-type	Kill Bill (2003)	297	18	ENTP
Annie Graham	https://www.personality-database.com/profile/35349/annie-graham-hereditary-2018-mbti-personality-type	Hereditary (2018)	319	56	INFJ
Finney Blake	https://www.personality-database.com/profile/515443/finney-blake-the-black-phone-mbti-personality-type	The Black Phone	313	50	INTP
Hal 9000	https://www.personality-database.com/profile/5404/hal-9000-2001-a-space-odyssey-1968-mbti-personality-type	2001: A Space Odyssey (1968)	274	33	INTJ
Benja	https://www.personality-database.com/profile/260989/benja-raya-and-the-last-dragon-2021-mbti-personality-type	Raya and the Last Dragon (2021)	263	10	ENFJ
Daniel LaRusso	https://www.personality-database.com/profile/11831/daniel-larusso-the-karate-kid-franchise-mbti-personality-type	The Karate Kid (Franchise)	284	10	ESFP
Dolores Haze "Lolita"	https://www.personality-database.com/profile/49480/dolores-haze-lolita-lolita-1997-mbti-personality-type	Lolita (1997)	331	32	ESFP
Llewelyn Moss	https://www.personality-database.com/profile/23914/llewelyn-moss-no-country-for-old-men-2007-mbti-personality-type	No Country for Old Men (2007)	241	3	ISTP
Elle Driver "California Mountain Snake"	https://www.personality-database.com/profile/15620/elle-driver-california-mountain-snake-kill-bill-2003-mbti-personality-type	Kill Bill (2003)	255	5	ESTP
Richard Vernon	https://www.personality-database.com/profile/2927/richard-vernon-the-breakfast-club-1985-mbti-personality-type	The Breakfast Club (1985)	244	15	ESTJ
Raoul	https://www.personality-database.com/profile/118118/raoul-a-monster-in-paris-mbti-personality-type	A Monster in Paris	157	5	ENFP
Merryweather	https://www.personality-database.com/profile/8754/merryweather-sleeping-beauty-1959-mbti-personality-type	Sleeping Beauty (1959)	162	7	ISTP
Cecilia Lisbon	https://www.personality-database.com/profile/36053/cecilia-lisbon-the-virgin-suicides-2000-mbti-personality-type	The Virgin Suicides (2000)	248	11	INFP
Ray	https://www.personality-database.com/profile/14701/ray-the-princess-and-the-frog-2009-mbti-personality-type	The Princess and the Frog (2009)	163	7	ENFP
Luke Hobbs	https://www.personality-database.com/profile/4308/luke-hobbs-the-fast-and-the-furious-film-franchise-mbti-personality-type	The Fast and the Furious (Film Franchise)	165	2	ENTJ
Cypher	https://www.personality-database.com/profile/307/cypher-the-matrix-trilogy-mbti-personality-type	The Matrix Trilogy	156	8	ESTP
Ellen	https://www.personality-database.com/profile/67919/ellen-to-the-bone-2017-mbti-personality-type	To the Bone (2017)	162	7	ISFP
Cole Johnson	https://www.personality-database.com/profile/184767/cole-johnson-the-babysitter-mbti-personality-type	The Babysitter	145	1	INTP
Ted Wiggins	https://www.personality-database.com/profile/10990/ted-wiggins-the-lorax-2012-mbti-personality-type	The Lorax (2012)	108	18	ISFP
Agatha Trunchbull	https://www.personality-database.com/profile/92133/agatha-trunchbull-matilda-1996-mbti-personality-type	Matilda (1996)	164	3	ESTJ
Fauna	https://www.personality-database.com/profile/8753/fauna-sleeping-beauty-1959-mbti-personality-type	Sleeping Beauty (1959)	140	13	ISFJ
Flora	https://www.personality-database.com/profile/8752/flora-sleeping-beauty-1959-mbti-personality-type	Sleeping Beauty (1959)	148	5	ESTJ
Roddy St. James	https://www.personality-database.com/profile/42894/roddy-st-james-flushed-away-2006-mbti-personality-type	Flushed Away (2006)	138	2	ENTP
Anna	https://www.personality-database.com/profile/200456/anna-possession-1981-mbti-personality-type	Possession (1981)	180	19	INFP
Stephanie Conway	https://www.personality-database.com/profile/500148/stephanie-conway-senior-year-mbti-personality-type	Senior Year	129	19	ESFP
Griffin	https://www.personality-database.com/profile/195601/griffin-hotel-transylvania-2012-mbti-personality-type	Hotel Transylvania (2012)	83	57	ENTP
Mark Hoffman	https://www.personality-database.com/profile/5484/mark-hoffman-saw-series-2004-mbti-personality-type	Saw Series (2004)	117	13	ISTJ
Lorraine Day	https://www.personality-database.com/profile/468833/lorraine-day-x-2022-mbti-personality-type	X (2022)	121	5	INFJ
Jamal Malik	https://www.personality-database.com/profile/49430/jamal-malik-slumdog-millionaire-2008-mbti-personality-type	Slumdog Millionaire (2008)	66	6	INFP
Bobby-Lynne	https://www.personality-database.com/profile/468837/bobbylynne-x-2022-mbti-personality-type	X (2022)	119	3	ESFP
Vance Hopper	https://www.personality-database.com/profile/516348/vance-hopper-the-black-phone-mbti-personality-type	The Black Phone	85	7	ESTP
Buffy Gilmore	https://www.personality-database.com/profile/234037/buffy-gilmore-scary-movie-mbti-personality-type	Scary Movie	54	3	ENTJ
V	https://www.personality-database.com/profile/1865/v-v-for-vendetta-2005-mbti-personality-type	V for Vendetta (2005)	1.7k	166	INTJ
Alex DeLarge	https://www.personality-database.com/profile/11570/alex-delarge-a-clockwork-orange-1971-mbti-personality-type	A Clockwork Orange (1971)	1.6k	346	ENTP
Giulia Marcovaldo	https://www.personality-database.com/profile/259965/giulia-marcovaldo-luca-2021-mbti-personality-type	Luca (2021)	1.7k	169	ESFP
Tiana	https://www.personality-database.com/profile/4666/tiana-the-princess-and-the-frog-2009-mbti-personality-type	The Princess and the Frog (2009)	1.7k	215	ESTJ
Cinderella	https://www.personality-database.com/profile/824/cinderella-cinderella-1950-mbti-personality-type	Cinderella (1950)	1.6k	229	ISFJ
Luisa Madrigal	https://www.personality-database.com/profile/352950/luisa-madrigal-encanto-2021-mbti-personality-type	Encanto (2021)	2.2k	454	ISFJ
Rose Dewitt Bukater	https://www.personality-database.com/profile/2836/rose-dewitt-bukater-titanic-1997-mbti-personality-type	Titanic (1997)	1.2k	197	ISFP
Olaf	https://www.personality-database.com/profile/751/olaf-frozen-franchise-mbti-personality-type	Frozen (Franchise)	1.2k	49	ENFP
Hans Westergaard	https://www.personality-database.com/profile/752/hans-westergaard-frozen-franchise-mbti-personality-type	Frozen (Franchise)	1.2k	162	ENFJ
Mavis Dracula	https://www.personality-database.com/profile/12270/mavis-dracula-hotel-transylvania-2012-mbti-personality-type	Hotel Transylvania (2012)	1.1k	125	ENFP
